"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"LCSC";"MF";"MOUSER-PURCHASE-URL";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";
"2";"";"PINHD-1X20";"1X20";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"6";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"1";"";"USB_MICRO-B_SMT";"USB-MICROB";"J1";"USB Type Micro-B Connector";"";"";"";"";"";"";"";"";"";"";"CONN-09505";"PRT-08533";"";
"2";"100k";"R-EU_R0402";"R0402";"R33, R34";"RESISTOR, European symbol";"";"";"";"C25741";"";"";"";"";"0";"";"";"";"R";
"2";"100nF";"C-EUC0402K";"C0402K";"C4, C5";"CAPACITOR, European symbol";"";"";"";"C1525";"";"";"";"";"15";"";"";"";"C";
"3";"100nF";"C-EUC0402K";"C0402K";"C6, C7, C8";"CAPACITOR, European symbol";"";"";"";"C52923";"";"";"";"";"15";"";"";"";"C";
"1";"10k";"R-EU_R0402";"R0402";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"0";"";"";"";"R";
"1";"10uF";"CPOL-EUA/3216-18R";"A/3216-18R";"C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"C7171";"";"";"";"";"1";"";"";"";"C";
"1";"1M";"R-EU_R0402";"R0402";"R30";"RESISTOR, European symbol";"";"";"";"C26083";"";"";"";"";"0";"";"";"";"R";
"1";"1uF";"C-EUC0402K";"C0402K";"C1";"CAPACITOR, European symbol";"";"";"";"C52923";"";"";"";"";"15";"";"";"";"C";
"2";"20";"R-EU_R0402";"R0402";"R35, R36";"RESISTOR, European symbol";"";"";"";"C4109";"";"";"";"";"0";"";"";"";"R";
"4";"20pF";"C-EUC0402K";"C0402K";"C9, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"C52923";"";"";"";"";"15";"";"";"";"C";
"30";"220";"R-EU_R0402";"R0402";"R1, R2, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R31, R32";"RESISTOR, European symbol";"";"";"";"C25091";"";"";"";"";"0";"";"";"";"R";
"1";"22uF";"CPOL-EUR/2012-12R";"R/2012-12R";"C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"C147776";"";"";"";"";"0";"";"";"";"C";
"1";"32.768kHz";"KX-327-NHF";"3.2X1.5";"Q1";"Tuning Fork Crystals (kHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4k7";"R-EU_R0402";"R0402";"R37";"RESISTOR, European symbol";"";"";"";"C25900";"";"";"";"";"0";"";"";"";"R";
"1";"8MHz";"KX-9B";"5.0X3.2_2";"Q2";"Quartz Crystals (MHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AMS1117-3.3";"AMS1117-3.3";"SOT229P700X180-4N";"U2";"Sot223/Pkg 1-Amp 3.3-Volt Low Drop Out Voltage Regulatator";"Unavailable";" Sot223/Pkg 1-Amp 3.3-Volt Low Drop Out Voltage Regulatator ";"";"C6186";"Advanced Monolithic Systems";"";"AMS1117-3.3";"None";"";"None";"";"";"";
"3";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"JP4, JP7, JP8";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"SMT-JUMPER_3_1-NC_TRACE_NO-SILK";"JP5, JP6";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F103C8T6";"STM32F103C8T6";"QFP50P900X900X160-48N";"U1";"Mainstream Performance line, ARM Cortex-M3 MCU with 64 Kbytes Flash, 72 MHz CPU, motor control, USB and CAN Check prices";"Good";" ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 48-LQFP (7x7) ";"https://snapeda.com/shop?store=DigiKey&id=52195";"";"STMicroelectronics";"https://snapeda.com/shop?store=Mouser&id=52195";"STM32F103C8T6";"LQFP-48 STMicroelectronics";"";"None";"";"";"";
"1";"TACTILE-SWITCH";"TACTILE-SWITCH";"TS-1187A-B-A-B";"U$1";"";"";"";"";"C318884";"";"";"";"";"";"";"";"";"";
