BOOT0, 15.79, 45.56, 0.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT1, 15.79, 43.82, 0.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT2, 40.79, 45.56, 0.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT3, 40.79, 43.82, 0.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT4, 65.79, 45.56, 0.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT5, 65.79, 43.82, 0.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT6, 17.44, 70.79, 270.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
BOOT7, 19.19, 70.79, 270.00, JUMPER-SMT_3_1-NC_TRACE_NO-SILK, SMT-JUMPER_3_1-NC_TRACE_NO-SILK
J1, 11.50, 49.48, 90.00, , USB-MICROB
J2, 36.50, 49.48, 90.00, , USB-MICROB
J3, 61.50, 49.48, 90.00, , USB-MICROB
J4, 13.53, 66.50, 0.00, , USB-MICROB
JP10, 41.26, 5.08, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP11, 41.26, 7.62, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP12, 41.26, 10.16, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP16, 66.26, 5.08, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP17, 66.26, 7.62, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP18, 66.26, 10.16, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP22, 57.92, 71.26, 90.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP23, 55.38, 71.26, 90.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP24, 52.84, 71.26, 90.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP4, 16.26, 5.08, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP7, 16.26, 7.62, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP8, 16.26, 10.16, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
