Qty, PROD_ID, Names, Value, Package
4, , C1; C14; C27; C40, 1uF, C0402K
4, , C2; C16; C29; C42, 10uF, A/3216-18R
4, , C3; C15; C28; C41, 22uF, R/2012-12R
20, , C4; C5; C6; C7; C8; C17; C18; C19; C20; C21; C30; C31; C32; C33; C34; C43; C44; C45; C46; C47, 100nF, C0402K
16, , C9; C10; C11; C12; C22; C23; C24; C25; C35; C36; C37; C38; C48; C49; C50; C51, 20pF, C0402K
4, , C13; C26; C39; C52, GREEN, SML0603
4, , PWR; PWR1; PWR2; PWR3, RED, SML0603
4, , Q1; Q3; Q5; Q7, 32.768kHz, 3.2X1.5
4, , Q2; Q4; Q6; Q8, 8MHz, 5.0X3.2_2
120, , R1; R2; R4; R5; R6; R7; R8; R9; R10; R11; R12; R13; R14; R15; R16; R17; R18; R19; R20; R21; R22; R23; R24; R25; R26; R27; R28; R29; R31; R32; R40; R41; R42; R43; R44; R45; R46; R47; R48; R49; R50; R51; R52; R53; R54; R55; R56; R57; R58; R59; R60; R61; R62; R63; R64; R65; R66; R67; R68; R69; R79; R80; R81; R82; R83; R84; R85; R86; R87; R88; R89; R90; R91; R92; R93; R94; R95; R96; R97; R98; R99; R100; R101; R102; R103; R104; R105; R106; R107; R108; R118; R119; R120; R121; R122; R123; R124; R125; R126; R127; R128; R129; R130; R131; R132; R133; R134; R135; R136; R137; R138; R139; R140; R141; R142; R143; R144; R145; R146; R147, 220, R0402
4, , R3; R72; R111; R150, 10k, R0402
4, , R30; R76; R115; R154, 1M, R0402
8, , R33; R34; R70; R71; R109; R110; R148; R149, 100k, R0402
8, , R35; R36; R73; R74; R112; R113; R151; R152, 20, R0402
4, , R37; R75; R114; R153, 4k7, R0402
8, , R38; R39; R77; R78; R116; R117; R155; R156, 1k, R0402
4, , U$1; U$2; U$3; U$4, TACTILE-SWITCH, TS-1187A-B-A-B
4, , U1; U3; U5; U7, STM32F103C8T6, QFP50P900X900X160-48N
4, , U2; U4; U6; U8, AMS1117-3.3, SOT229P700X180-4N
